locationid,day_of_week,hour,norm_value
13,3,16,0.23544158042918673
13,3,17,0.3188303719489513
13,3,18,0.3033393112291901
13,3,19,0.2522418102743988
13,3,20,0.20578943735103886
13,3,21,0.18925287393427156
13,3,22,0.17510465456420043
13,3,23,0.12269413552027308
13,4,0,0.07529916776515977
13,4,1,0.04060875137667476
13,4,2,0.02088862642279484
13,4,3,0.010922279285253115
13,4,4,0.00872302570133889
13,4,5,0.02364643499482528
13,4,6,0.10837002156880789
13,4,7,0.2371073985963975
13,4,8,0.3648652638502214
13,4,9,0.2775619754950247
13,4,10,0.17866796576298755
13,4,11,0.15976158982706407
13,4,12,0.17519060071767711
13,4,13,0.17770875866721297
13,4,14,0.19915702333017574
13,4,15,0.22201354085218075
13,4,16,0.2619043984215153
13,4,17,0.29577368456294784
13,4,18,0.2742609286150501
13,4,19,0.23806312920884357
13,4,20,0.1845668525980641
13,4,21,0.16050233269512149
13,4,22,0.16814487745471837
13,4,23,0.15312873674722985
13,5,0,0.12378512652610686
13,5,1,0.09226473390316418
13,5,2,0.06094809343356281
13,5,3,0.03809308742604848
13,5,4,0.020896183995248153
13,5,5,0.011815458389693882
13,5,6,0.023238779536693545
13,5,7,0.04351302570285041
13,5,8,0.07979468897138059
13,5,9,0.12993449650419445
13,5,10,0.17785660997630798
13,5,11,0.20830808474336218
13,5,12,0.2431106303151462
13,5,13,0.2590649680669891
13,5,14,0.2726541131357511
13,5,15,0.2806436008547715
13,5,16,0.27159766527441065
13,5,17,0.25501579708986094
13,5,18,0.2395428263194778
13,5,19,0.20875697935518084
13,5,20,0.16812157493965402
13,5,21,0.15727028645164562
13,5,22,0.1626640755277591
13,5,23,0.1557406589790032
13,6,0,0.12894619275447464
13,6,1,0.09879241076635645
13,6,2,0.063086810862126
13,6,3,0.038704117158898876
13,6,4,0.021726635248326416
13,6,5,0.011821176952850225
13,6,6,0.019601949712618225
13,6,7,0.03611995640993739
13,6,8,0.06677626658238457
13,6,9,0.10739295341013537
13,6,10,0.14775217893630993
13,6,11,0.17968133546134418
13,6,12,0.2068347359935887
13,6,13,0.2223449907880749
13,6,14,0.23249992455023497
13,6,15,0.2413024055299664
13,6,16,0.24066462199063127
13,6,17,0.22414049365962493
13,6,18,0.20883391544275556
13,6,19,0.17582692312633794
13,6,20,0.13746967335113794
13,6,21,0.11595767316048557
13,6,22,0.09260228028083733
13,6,23,0.05949245459523829
24,0,0,0.02303109594043482
24,0,1,0.013249959595774475
24,0,2,0.007787732982021394
24,0,3,0.004184648222767311
24,0,4,0.003589502041143026
24,0,5,0.003049887079095968
24,0,6,0.010438934250746818
24,0,7,0.03088984793167126
24,0,8,0.05314341831832753
24,0,9,0.0391643866529369
24,0,10,0.03284631799626881
24,0,11,0.03739920136924089
24,0,12,0.04380735699597352
24,0,13,0.04716760176147303
24,0,14,0.052134702151839935
24,0,15,0.06580024524560737
24,0,16,0.07375169496242641
24,0,17,0.08764849206016262
24,0,18,0.08358798397753107
24,0,19,0.06843680092916336
24,0,20,0.05840362843652365
24,0,21,0.049551822042418404
24,0,22,0.04441417330672714
24,0,23,0.03310504475530887
24,1,0,0.020909492781041563
24,1,1,0.011658896746301807
24,1,2,0.006501376972076664
24,1,3,0.0037171248234631115
24,1,4,0.003130715233960971
24,1,5,0.003487738067244359
24,1,6,0.0114713141378173
24,1,7,0.03662740089509748
24,1,8,0.06253146528828146
24,1,9,0.04303626186024514
24,1,10,0.0362503626230112
24,1,11,0.038258362242817645
24,1,12,0.04655638399586803
24,1,13,0.04951734083690338
24,1,14,0.054777625605042
24,1,15,0.0700188467021797
24,1,16,0.07922019336557747
24,1,17,0.09933550991862838
24,1,18,0.09496557613415474
24,1,19,0.07661876900372197
24,1,20,0.06345565998049493
24,1,21,0.058075123668378525
24,1,22,0.05081222344639762
24,1,23,0.037354885318156554
24,2,0,0.023487732463957894
24,2,1,0.012804193065416785
24,2,2,0.0076482958745087565
24,2,3,0.004793854344050261
24,2,4,0.0031306303562858456
24,2,5,0.0038173119948115824
24,2,6,0.011964770980025501
24,2,7,0.037332660164978486
24,2,8,0.062133635522102534
24,2,9,0.04456033562534308
24,2,10,0.03873030624247849
24,2,11,0.04277709893165427
24,2,12,0.0484030553516055
24,2,13,0.05277813349840973
24,2,14,0.057075515148349944
24,2,15,0.07115575201383853
24,2,16,0.07957366263208294
24,2,17,0.10026986598838966
24,2,18,0.09496202574033955
24,2,19,0.07928582825430269
24,2,20,0.06375143897783968
24,2,21,0.06002846153207499
24,2,22,0.053495049526061954
24,2,23,0.04136684327049137
24,3,0,0.02636676338341747
24,3,1,0.01508664584227125
24,3,2,0.0090623501519579
24,3,3,0.006032098044649829
24,3,4,0.004385806583459444
24,3,5,0.003845799831599955
24,3,6,0.011141662251184093
24,3,7,0.03530044972779271
24,3,8,0.05965003391888342
24,3,9,0.04263585252366546
24,3,10,0.03725908279969556
24,3,11,0.04241479488953861
24,3,12,0.04681904556592383
24,3,13,0.05023453688553766
24,3,14,0.05681975895416857
24,3,15,0.07297997541693285
24,3,16,0.08021034331075515
24,3,17,0.09576007371561901
24,3,18,0.09251094415999978
24,3,19,0.0799650484323821
24,3,20,0.0667675330960326
24,3,21,0.06126498797308734
24,3,22,0.05666425762887838
24,3,23,0.046354929959286764
24,4,0,0.03157321454801504
24,4,1,0.02116419850957619
24,4,2,0.014453089909523428
24,4,3,0.008132221078897888
24,4,4,0.0053717707924763845
24,4,5,0.003932856714107992
24,4,6,0.011126853199636404
24,4,7,0.03422677425896835
24,4,8,0.05406742775559198
24,4,9,0.04422453337778001
24,4,10,0.04275405026423523
24,4,11,0.05037476887104714
24,4,12,0.05571915186689299
24,4,13,0.05997245510478175
24,4,14,0.06735098780605739
24,4,15,0.07892209326381541
24,4,16,0.08502893579071329
24,4,17,0.09643612402262801
